GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "05999","Arkansas (Nonmetropolitan Portion) *",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",943901,944963,961167,979286,995989,1008759,1029464,1042890,1058051,1071988,1079968,1081421,1081286,1080486,1083408,1085402,1082926,1077383,1073524,1066919,1062600,1061205,1068030,1075698,1085858,1098526,1111603,1121204,1128576,1135658,1140047,1143094,1139063,1136013,1133838,1134563,1137644,1142231,1143181,1144392,1144029,1146424,1144164,1139342,1133214,1127401,1122873,1118709,1115215,1112241
 "05999","Arkansas (Nonmetropolitan Portion) *",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2375,2607,2825,3126,3745,4131,4375,4723,5185,5963,6418,6736,7783,8095,8437,9452,9917,10264,10626,11519,12354,12910,13539,14555,15025,15745,16453,17246,17850,18559,19041,19685,20835,20997,22146,23226,23648,24645,26077,27071,26632,27491,28828,30145,30735,31720,31835,32064,33330,34670
 "06000","California",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",92160048,99417462,105987186,116351066,127777265,142507421,157639903,174924788,194032902,220640055,250173900,284307980,319557151,342342458,369808779,410796416,444066873,476682239,513377058,558041138,600755071,643684926,665992598,702449072,719730984,742429143,780642835,829666598,882677306,959949747,1026419347,1133965450,1173768781,1193118043,1248506484,1329404002,1407285469,1516057517,1581573294,1606579893,1554013343,1628457637,1737940004,1852397490,1886379052,2021038469,2171947376,2263889847,2370112356,2514129262
 "06000","California",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",19711000,20023181,20345575,20584794,20867737,21172548,21536715,21934505,22350247,22838960,23255069,23800800,24285933,24820007,25360023,25844397,26441107,27102238,27777160,28464250,29218165,29959515,30470736,30974659,31274928,31484435,31696582,32018834,32486010,32987675,33499204,33987977,34479458,34871843,35253159,35574576,35827943,36021202,36250311,36604337,36961229,37320903,37641823,37960782,38280824,38625139,38953142,39209127,39399349,39557045
 "06000","California",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4676,4965,5209,5652,6123,6731,7320,7975,8681,9661,10758,11945,13158,13793,14582,15895,16795,17588,18482,19605,20561,21485,21857,22678,23013,23581,24629,25912,27171,29100,30640,33364,34043,34214,35415,37369,39279,42088,43629,43890,42044,43634,46170,48798,49277,52324,55758,57739,60156,63557
 "06998","California (Metropolitan Portion)",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",90519555,97663180,104080716,114241925,125340012,139765130,154610006,171569702,190283672,216318660,245263230,278671582,313468245,335975650,362953976,403253681,436008157,468080495,504173739,548048717,589754627,632000000,653762829,689462790,706180795,728393965,766091157,814187513,866321569,942598547,1008233927,1114474024,1152600106,1171276955,1225472824,1304910374,1382113465,1489456889,1553777413,1578141105,1525446891,1598438344,1706736284,1820719876,1853905747,1986677512,2135475725,2226053248,2331206980,2473291489
 "06998","California (Metropolitan Portion)",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",19296031,19597757,19912355,20143679,20409271,20702568,21057798,21443167,21839866,22308929,22701374,23227051,23695972,24217238,24748500,25223594,25807049,26458849,27119704,27789074,28522727,29240510,29734543,30226707,30518895,30721796,30926537,31240503,31700587,32199253,32707947,33190914,33675821,34059641,34430907,34745743,34992800,35182458,35409556,35761758,36117202,36475779,36800626,37125449,37450961,37796250,38123673,38377371,38563480,38719608
 "06998","California (Metropolitan Portion)",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4691,4983,5227,5671,6141,6751,7342,8001,8713,9697,10804,11998,13229,13873,14666,15987,16895,17691,18591,19722,20677,21614,21987,22810,23139,23709,24771,26062,27328,29274,30825,33578,34226,34389,35592,37556,39497,42335,43880,44129,42236,43822,46378,49042,49502,52563,56014,58004,60451,63877
 "06999","California (Nonmetropolitan Portion) *",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1640493,1754282,1906470,2109141,2437253,2742291,3029897,3355086,3749230,4321395,4910670,5636398,6088906,6366808,6854803,7542735,8058716,8601744,9203319,9992421,11000444,11684926,12229769,12986282,13550189,14035178,14551678,15479085,16355737,17351200,18185420,19491426,21168675,21841088,23033660,24493628,25172004,26600628,27795881,28438788,28566452,30019293,31203720,31677614,32473305,34360957,36471651,37836599,38905376,40837773
 "06999","California (Nonmetropolitan Portion) *",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",414969,425424,433220,441115,458466,469980,478917,491338,510381,530031,553695,573749,589961,602769,611523,620803,634058,643389,657456,675176,695438,719005,736193,747952,756033,762639,770045,778331,785423,788422,791257,797063,803637,812202,822252,828833,835143,838744,840755,842579,844027,845124,841197,835333,829863,828889,829469,831756,835869,837437
