GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "11460","Ann Arbor, MI (Metropolitan Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1052627,1095725,1212039,1349916,1518740,1638400,1805963,2038347,2297921,2616066,2903669,3191960,3436150,3640222,3925847,4311669,4700285,5019182,5279965,5775220,6274868,6667023,6758413,7223539,7623930,8170770,8731492,9139407,9635229,10247208,10971447,11797044,12295744,12741541,13319278,13477336,13739787,14244816,14665401,15173227,14224663,15690064,15757892,16837310,16988362,17860301,19008203,19928371,20944911,22021358
 "11460","Ann Arbor, MI (Metropolitan Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",223597,234226,236222,241470,246780,256447,251024,253934,257407,259775,262859,264400,262466,260239,260212,260737,262568,266087,269717,273346,279329,283987,287126,290323,291617,293671,297926,303133,308398,312601,318270,324372,328749,332763,336154,339422,342234,344018,345310,341595,343520,345658,349676,352262,356015,360035,363109,366488,369208,370963
 "11460","Ann Arbor, MI (Metropolitan Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4708,4678,5131,5590,6154,6389,7194,8027,8927,10071,11046,12072,13092,13988,15087,16536,17901,18863,19576,21128,22464,23477,23538,24881,26144,27823,29308,30150,31243,32780,34472,36369,37402,38290,39623,39707,40147,41407,42470,44419,41409,45392,45064,47798,47718,49607,52348,54377,56729,59363
 "11500","Anniston-Oxford, AL (Metropolitan Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",304416,313931,353608,396486,433646,485455,557197,624434,702104,776570,849706,972898,1069632,1144879,1219116,1341222,1403278,1470316,1525463,1607503,1703924,1759063,1851118,1951649,2005237,2073014,2183521,2248460,2324902,2463469,2470237,2458198,2581886,2696488,2834971,3014164,3143525,3297240,3496846,3619662,3573396,3661982,3758530,3797108,3734469,3840835,3949207,3999593,4095935,4241974
 "11500","Anniston-Oxford, AL (Metropolitan Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",102946,103125,103622,103846,105027,105917,107005,112768,112801,116474,116742,120016,120814,122109,121249,121739,118644,117700,118092,117260,116381,116118,115247,115804,116324,116161,116790,116684,117254,117179,114910,111081,111266,111625,112705,113462,114477,115388,116211,117274,118363,118477,117797,117257,116541,115995,115536,115018,114664,114277
 "11500","Anniston-Oxford, AL (Metropolitan Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2957,3044,3412,3818,4129,4583,5207,5537,6224,6667,7278,8106,8854,9376,10055,11017,11828,12492,12918,13709,14641,15149,16062,16853,17238,17846,18696,19270,19828,21023,21497,22130,23205,24157,25154,26565,27460,28575,30090,30865,30190,30909,31907,32383,32044,33112,34182,34774,35721,37120
 "11540","Appleton, WI (Metropolitan Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",508263,550635,581862,638012,723046,800861,877279,977626,1092940,1211224,1398104,1543317,1685126,1781003,1907996,2132295,2283300,2448636,2607322,2776949,3026601,3206585,3368949,3694968,3897358,4188266,4432852,4715137,4937783,5226783,5606859,6068997,6457200,6708097,6888521,7150716,7443643,7834332,8241097,8582588,8424501,8669917,9260407,9661257,9805043,10346986,10784809,11185865,11635733,12145541
 "11540","Appleton, WI (Metropolitan Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",143488,147307,148324,149228,148989,150556,153496,152296,154282,155590,156784,159892,160685,161454,162093,163293,164668,166459,168530,171443,173276,175333,177039,179533,182315,185813,188656,191586,194050,196776,199495,202618,205676,208747,211350,213592,215925,218441,220368,222402,224632,225944,227521,228643,229973,231642,233229,234355,236058,237524
 "11540","Appleton, WI (Metropolitan Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3542,3738,3923,4275,4853,5319,5715,6419,7084,7785,8917,9652,10487,11031,11771,13058,13866,14710,15471,16198,17467,18289,19029,20581,21377,22540,23497,24611,25446,26562,28105,29953,31395,32135,32593,33478,34473,35865,37397,38590,37504,38372,40701,42255,42636,44668,46241,47730,49292,51134
 "11700","Asheville, NC (Metropolitan Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",730298,785483,861652,973755,1111269,1218978,1318910,1474607,1653861,1859539,2064325,2349553,2649227,2822797,3096007,3450320,3685999,3931739,4225639,4605228,5040778,5377067,5661789,6102912,6523774,6861121,7389530,7799315,8430196,8983848,9300228,9802549,10206175,10324403,10559781,11379433,12058452,13133638,13965943,14346845,13912930,14218227,14825509,15766749,15819342,16934291,18061626,18803828,19696720,20880264
